03.07.2018 00:00:01.833,1.49938,1.49738,2.36,2.15
03.07.2018 00:00:03.257,1.49938,1.49738,1.57,2.69
03.07.2018 00:00:04.801,1.49937,1.49737,1.3,1.89
03.07.2018 00:00:06.206,1.49937,1.49737,1.25,1.43
03.07.2018 00:00:07.799,1.49936,1.49736,2.71,2.36
03.07.2018 00:00:09.295,1.49936,1.49736,2.53,1.26
03.07.2018 00:00:10.671,1.49936,1.49736,2.65,1.81
03.07.2018 00:00:12.190,1.49938,1.49738,2.48,1.9
03.07.2018 00:00:13.511,1.49937,1.49737,1.32,1.35
03.07.2018 00:00:14.748,1.49935,1.49735,2.62,1.74
03.07.2018 00:00:16.220,1.49936,1.49736,1.18,2.25
03.07.2018 00:00:17.674,1.49935,1.49735,2.67,1.62
03.07.2018 00:00:19.045,1.49936,1.49736,2.12,2.26
03.07.2018 00:00:20.501,1.49936,1.49736,1.17,2.25
03.07.2018 00:00:21.958,1.49934,1.49734,2.63,1.64
03.07.2018 00:00:23.419,1.49933,1.49733,2.55,1.82
03.07.2018 00:00:24.774,1.49934,1.49734,1.85,1.09
03.07.2018 00:00:26.289,1.49933,1.49733,1.89,1.79
03.07.2018 00:00:27.514,1.49933,1.49733,2.52,1.58
03.07.2018 00:00:28.766,1.49934,1.49734,1.14,1.14
03.07.2018 00:00:30.074,1.49934,1.49734,1.22,2.03
03.07.2018 00:00:31.501,1.49934,1.49734,1.59,1.2
03.07.2018 00:00:32.909,1.49933,1.49733,2.38,1.33
03.07.2018 00:00:34.322,1.49932,1.49732,2.27,1.02
03.07.2018 00:00:35.712,1.49931,1.49731,2.88,2.46
03.07.2018 00:00:37.017,1.4993,1.4973,2.63,1.61
03.07.2018 00:00:38.194,1.4993,1.4973,2.29,2.28
03.07.2018 00:00:39.586,1.4993,1.4973,2.08,1.61
03.07.2018 00:00:41.119,1.49933,1.49733,1.74,1.24
03.07.2018 00:00:42.621,1.4993,1.4973,1.82,2.44
03.07.2018 00:00:44.240,1.49929,1.49729,1.86,1.71
03.07.2018 00:00:45.729,1.49927,1.49727,1.85,2.98
03.07.2018 00:00:47.061,1.49924,1.49724,2.14,1.6
03.07.2018 00:00:48.637,1.49923,1.49723,1.48,2.82
03.07.2018 00:00:49.925,1.49922,1.49722,1.59,1.37
03.07.2018 00:00:51.299,1.49925,1.49725,1.52,2.26
03.07.2018 00:00:52.536,1.49926,1.49726,2.04,2.45
03.07.2018 00:00:53.923,1.49926,1.49726,2.58,1.3
03.07.2018 00:00:55.327,1.49927,1.49727,2.57,2.92
03.07.2018 00:00:56.791,1.49929,1.49729,2.12,1.14
03.07.2018 00:00:58.181,1.49929,1.49729,1.65,2.46
03.07.2018 00:00:59.515,1.49931,1.49731,1.09,1.3
03.07.2018 00:01:01.083,1.49929,1.49729,1.06,2.73
03.07.2018 00:01:02.415,1.49927,1.49727,2.51,2.25
03.07.2018 00:01:03.636,1.49926,1.49726,2.83,1.95
03.07.2018 00:01:05.023,1.49928,1.49728,1.97,2.15
03.07.2018 00:01:06.306,1.49929,1.49729,1.34,2.58
03.07.2018 00:01:07.595,1.49929,1.49729,1.67,2.04
03.07.2018 00:01:09.074,1.49927,1.49727,2.57,2.05
03.07.2018 00:01:10.562,1.49929,1.49729,1.61,1.83
03.07.2018 00:01:11.897,1.49929,1.49729,2.35,2.48
03.07.2018 00:01:13.382,1.49929,1.49729,2.15,1.09
03.07.2018 00:01:14.806,1.49929,1.49729,1.05,1.5
03.07.2018 00:01:16.230,1.4993,1.4973,1.14,1.61
03.07.2018 00:01:17.706,1.49931,1.49731,1.44,2.22
03.07.2018 00:01:19.176,1.49932,1.49732,2.97,1.14
03.07.2018 00:01:20.532,1.49936,1.49736,2.15,2.71
03.07.2018 00:01:21.901,1.49935,1.49735,1.99,2.51
03.07.2018 00:01:23.249,1.49935,1.49735,1.71,2.15
03.07.2018 00:01:24.562,1.49934,1.49734,2.61,2.69
03.07.2018 00:01:26.120,1.49934,1.49734,1.23,1.12
